Compounds,Effective Grouping
Aspirin,"""Analgesics;Anti-clotting Agents;Anti-inflammatory Agents;Anti-pyretics """
Codeine,"""Analgesics;Cough Suppressants"""
Diclofenac,"""Analgesics;Anti-inflammatory Agents"""
Flurbiprofen,"""Analgesics;Anti-inflammatory Agents"""
Fenbufen,"""Analgesics;Anti-inflammatory Agents"""
Ibuprofen,"""Analgesics;Anti-inflammatory Agents;Anti-pyretics """
Indomethacin,"""Analgesics;Anti-inflammatory Agents"""
Ketoprofen,"""Analgesics;Anti-inflammatory Agents"""
Ketorolac Tromethamine,"""Analgesics;Anti-inflammatory Agents"""
Mefenamic acid,"""Analgesics;Anti-inflammatory Agents"""
Morphine,"""Analgesics;Cough Suppressants"""
Naproxen,"""Analgesics;Anti-inflammatory Agents"""
Nimesulide,"""Analgesics;Anti-inflammatory Agents"""
Paracetamol,"""Analgesics;Anti-pyretics """
Phenylbutazone,"""Analgesics;Anti-inflammatory Agents"""
Piroxicam,"""Analgesics;Anti-inflammatory Agents"""
Salicylamide,"""Analgesics;Anti-inflammatory Agents"""
Sulindac,"""Analgesics;Anti-inflammatory Agents"""
Tramadol,"""Analgesics"""
Danazol,"""Androgenic Steroids"""
Dehydroisoandrosterone (DHEA),"""Androgenic Steroids;Corticosteroids"""
Fluoxymesterolone,"""Androgenic Steroids"""
Mesterolone,"""Androgenic Steroids"""
Methandienone,"""Androgenic Steroids"""
Methyltestosterone,"""Androgenic Steroids"""
Nondrolone,"""Androgenic Steroids"""
Oxandrolone,"""Androgenic Steroids"""
Oxymetholone,"""Androgenic Steroids"""
Stanozolol,"""Androgenic Steroids"""
Testosterone,"""Androgenic Steroids"""
Trenbolone,"""Androgenic Steroids"""
Acebutolol,"""Anti-arrhythmics;Anti-hypertensives """
Amiodarone,"""Anti-arrhythmics"""
Atenolol,"""Anti-arrhythmics;Anti-hypertensives """
Betaxolol,"""Anti-arrhythmics;Anti-hypertensives """
Bisoprolol,"""Anti-arrhythmics;Anti-hypertensives """
Carvedilol,"""Anti-arrhythmics;Anti-hypertensives """
Labetalol,"""Anti-arrhythmics;Anti-hypertensives """
Lignocaine,"""Anti-arrhythmics"""
Metoprolol,"""Anti-arrhythmics;Anti-hypertensives """
Mexiletine,"""Anti-arrhythmics"""
Oxprenolol,"""Anti-arrhythmics;Anti-hypertensives """
Phenytoin,"""Anti-arrhythmics;Anti-epileptics """
Procainamide,"""Anti-arrhythmics"""
Propafenone,"""Anti-arrhythmics"""
Propranolol,"""Anti-arrhythmics;Anti-hypertensives """
Timolol,"""Anti-arrhythmics;Anti-hypertensives """
Verapamil,"""Anti-arrhythmics;Anti-hypertensives """
Bambuterol,"""Anti-asthmatics"""
Beclomethasone,"""Anti-asthmatics;Anti-inflammatory Agents;Corticosteroids"""
Betamethasone,"""Anti-asthmatics;Anti-inflammatory Agents;Corticosteroids"""
Clenbuterol,"""Anti-asthmatics"""
Clobetasol Propionate,"""Anti-asthmatics;Anti-inflammatory Agents;Corticosteroids"""
Cortisone Acetate,"""Anti-asthmatics;Anti-inflammatory Agents;Corticosteroids"""
Desoxymethasone,"""Anti-asthmatics;Anti-inflammatory Agents;Corticosteroids"""
